--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
034.490  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.494  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.497  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.500  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.503  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.506  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.510  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.514  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.517  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.520  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.524  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.567  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.577  000.007  000.007: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.582  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.586  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.590  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.593  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.597  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.634  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.637  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
034.998  000.004  000.004: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.019  000.003  000.003: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.027  000.006  000.006: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.035  000.003  000.003: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.039  000.002  000.002: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.064  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.068  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
035.463  000.393  000.393: require('mini.bracketed')
036.127  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
036.132  000.001  000.001: sourcing nvim_exec2() called at /Users/louishuyng/.config/nvim/init.lua:0
036.524  000.124  000.124: require('git-conflict.colors')
036.586  000.061  000.061: require('git-conflict.utils')
036.824  000.160  000.160: require('vim.health')
036.827  000.239  000.079: require('vim.deprecated.health')
036.955  000.077  000.077: require('vim.hl')
036.969  000.772  000.270: require('git-conflict')
037.271  000.171  000.171: require('vim.iter')
038.060  000.068  000.068: require('nvim-treesitter.utils')
038.512  000.056  000.056: require('vim.treesitter.language')
038.586  000.074  000.074: require('vim.func')
038.666  000.078  000.078: require('vim.func._memoize')
038.713  000.326  000.117: require('vim.treesitter.query')
038.789  000.075  000.075: require('vim.treesitter._range')
038.797  000.483  000.083: require('vim.treesitter.languagetree')
038.800  000.550  000.067: require('vim.treesitter')
039.111  001.049  000.499: require('nvim-treesitter.parsers')
039.377  000.050  000.050: require('nvim-treesitter.compat')
039.487  000.060  000.060: require('nvim-treesitter.ts_utils')
039.489  000.111  000.051: require('nvim-treesitter.tsrange')
039.540  000.049  000.049: require('nvim-treesitter.caching')
039.544  000.271  000.061: require('nvim-treesitter.query')
039.550  000.353  000.081: require('nvim-treesitter.configs')
039.551  000.440  000.087: require('nvim-treesitter.info')
039.619  000.067  000.067: require('nvim-treesitter.shell_command_selectors')
